epoch,Ahegao_f1-score,Ahegao_precision,Ahegao_recall,Ahegao_support,Angry_f1-score,Angry_precision,Angry_recall,Angry_support,Happy_f1-score,Happy_precision,Happy_recall,Happy_support,Neutral_f1-score,Neutral_precision,Neutral_recall,Neutral_support,Sad_f1-score,Sad_precision,Sad_recall,Sad_support,Surprise_f1-score,Surprise_precision,Surprise_recall,Surprise_support,acc,dropout,dropout_global,dump_param,eta,experiment_id,f1_score,l2,loss,lr,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,precision,recall,samples avg_f1-score,samples avg_precision,samples avg_recall,samples avg_support,top_3_categorical_acc,train_batch,trainable_layers,val_acc,val_f1_score,val_loss,val_precision,val_recall,val_top_3_categorical_acc,valid_batch,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
10,0.48372093023255813,1.0,0.31901840490797545,326,0.4964788732394366,0.7085427135678392,0.3821138211382114,369,0.0,0.0,0.0,1061,0.0,0.0,0.0,1056,0.0,0.0,0.0,1037,0.4916773367477593,0.4304932735426009,0.573134328358209,335,0.3742331287156309,0.672064368331869,0.17794264526474873,0.45529711891163965,0.006268107917252983,673,0.2566160192865555,0.6792918131268323,categorical_crossentropy,0.006268108,0.24531285670329236,0.35650599785174,0.2123777590673993,4184,0.17717413338739105,0.5834445927903872,0.10444550669216061,4184,0.5865338767404035,0.16691897142509018,0.10444550669216061,0.10444550669216061,0.10444550669216061,4184,0.869333120002546,40,25,0.40296367112810705,0.18942870684039295,2.745094860033141,0.5519545326155413,0.11854684512428298,0.9041586998087954,16,0.12084264705823744,0.17487273134400189,0.10444550669216061,4184
11,0.9347496206373294,0.924924924924925,0.9447852760736196,326,0.573134328358209,0.6378737541528239,0.5203252032520326,369,0.0,0.0,0.0,1061,0.0,0.0,0.0,1056,0.0,0.0,0.0,1037,0.5707762557077626,0.46210720887245843,0.746268656716418,335,0.40419089957286936,0.672064368331869,0.17794264526474873,0.45529711891163965,0.006268107917252983,673,0.2795849215266296,0.6792918131268323,categorical_crossentropy,0.006268108,0.3464433674505501,0.33748431465836787,0.368563189340345,4184,0.2799029669714499,0.6382978723404256,0.17925430210325047,4184,0.6147616698764518,0.18325233151144113,0.17925430210325047,0.17925430210325047,0.17925430210325047,4184,0.901681139434764,40,25,0.4431166347992352,0.26950826728093236,1.9615042501380293,0.6457373542607856,0.17662523900573615,0.9187380497131931,16,0.16907863029494477,0.16532190625721585,0.17925430210325047,4184
12,0.941358024691358,0.9472049689440993,0.9355828220858896,326,0.5164319248826291,0.6111111111111112,0.44715447154471544,369,0.0,0.0,0.0,1061,0.0,0.0,0.0,1056,0.0,0.0,0.0,1037,0.5380228136882129,0.3947001394700139,0.844776119402985,335,0.43430802131799023,0.672064368331869,0.17794264526474873,0.45529711891163965,0.006268107917252983,673,0.2895228195362343,0.6792918131268323,categorical_crossentropy,0.006268108,0.3326354605437,0.3255027032542041,0.3712522355055983,4184,0.27416712179137087,0.5752482811306341,0.1799713193116635,4184,0.632903687793053,0.19018404969474953,0.1799713193116635,0.1799713193116635,0.1799713193116635,4184,0.9172974265806134,40,25,0.4137189292543021,0.2730742040202449,2.86154726404077,0.5258804999049718,0.1907265774378585,0.9153919694072657,16,0.1619703008882945,0.15930051782940513,0.1799713193116635,4184
13,0.9208633093525181,0.8672086720867209,0.9815950920245399,326,0.5873015873015872,0.7088122605363985,0.5013550135501355,369,0.02604651162790698,1.0,0.013195098963242224,1061,0.0,0.0,0.0,1056,0.0,0.0,0.0,1037,0.6636904761904762,0.6617210682492581,0.6656716417910448,335,0.5112740009650321,0.672064368331869,0.17794264526474873,0.45529711891163965,0.006268107917252983,673,0.31922835943642086,0.6792918131268323,categorical_crossentropy,0.003134054,0.36631698074541474,0.539623666812063,0.36030280772149376,4184,0.28731848983543085,0.7563710499490316,0.17734225621414915,4184,0.6872005716290344,0.20986375672372154,0.17734225621414915,0.17734225621414915,0.17734225621414915,4184,0.9443869041395457,40,25,0.5647705544933078,0.2756957678733319,1.3980769443238443,0.7563507216154504,0.1747131931166348,0.9426386233269598,16,0.18329048349049365,0.43664873544495786,0.17734225621414915,4184
14,0.930576070901034,0.8974358974358975,0.9662576687116564,326,0.5272407732864675,0.75,0.4065040650406504,369,0.8043273753527752,0.8028169014084507,0.8058435438265787,1061,0.0,0.0,0.0,1056,0.0,0.0,0.0,1037,0.6932515337423312,0.7129337539432177,0.6746268656716418,335,0.575332641026934,0.672064368331869,0.17794264526474873,0.45529711891163965,0.006268107917252983,673,0.4607491673259524,0.6792918131268323,categorical_crossentropy,0.003134054,0.4925659588804347,0.5271977587979276,0.4755386905417545,4184,0.505476540787968,0.7997930677703052,0.36950286806883365,4184,0.757725304587886,0.3351924151393505,0.36950286806883365,0.36950286806883365,0.36950286806883365,4184,0.951796672437478,40,25,0.5903441682600382,0.5040157872962678,1.309614162827997,0.8030287895786147,0.37595602294455066,0.9455066921606119,16,0.37847759405100845,0.3967341401839022,0.36950286806883365,4184
15,0.9056603773584906,0.859504132231405,0.9570552147239264,326,0.6133960047003525,0.5414937759336099,0.7073170731707317,369,0.8252853380158033,0.772391125718981,0.885956644674835,1061,0.0,0.0,0.0,1056,0.0,0.0,0.0,1037,0.6511627906976745,0.7340823970037453,0.5850746268656717,335,0.613974982700009,0.672064368331869,0.17794264526474873,0.45529711891163965,0.006268107917252983,673,0.5344061052862862,0.6792918131268323,categorical_crossentropy,0.003134054,0.4992507517953868,0.4845785718146236,0.5225672599058608,4184,0.5247965607247044,0.733791326749678,0.4084608030592734,4184,0.7893934468189261,0.4061827739390061,0.4084608030592734,0.4084608030592734,0.4084608030592734,4184,0.9608796164767408,40,25,0.5824569789674953,0.5089149953473366,1.4008055936765944,0.7273212513435867,0.39890057361376674,0.9407265774378585,16,0.3860792751605608,0.36936762375980725,0.4084608030592734,4184
16,0.916256157635468,0.9858657243816255,0.8558282208588958,326,0.6129032258064516,0.6677316293929713,0.5663956639566395,369,0.8360941586748037,0.7777777777777778,0.9038642789820923,1061,0.0,0.0,0.0,1056,0.0,0.0,0.0,1037,0.6778523489932885,0.7739463601532567,0.6029850746268657,335,0.618994502743519,0.672064368331869,0.17794264526474873,0.45529711891163965,0.006268107917252983,673,0.5435616693053338,0.6792918131268323,categorical_crossentropy,0.003134054,0.507184315185002,0.5342202486176052,0.48817887307074886,4184,0.5256614599936246,0.7889952153110048,0.3941204588910134,4184,0.8018440341115539,0.41359254089059816,0.3941204588910134,0.3941204588910134,0.3941204588910134,4184,0.9651820629101409,40,25,0.594168260038241,0.5177054938007267,1.2146138424627184,0.76647714447109,0.39818355640535374,0.9345124282982792,16,0.3917393013810854,0.39490426631643866,0.3941204588910134,4184
17,0.9415481832543444,0.9706840390879479,0.9141104294478528,326,0.6213093709884469,0.5902439024390244,0.6558265582655827,369,0.7878453038674034,0.951935914552737,0.6720075400565504,1061,0.0,0.0,0.0,1056,0.0,0.0,0.0,1037,0.69553450608931,0.6361386138613861,0.7671641791044777,335,0.6442514546515314,0.672064368331869,0.17794264526474873,0.45529711891163965,0.006268107917252983,673,0.5657792197462193,0.6792918131268323,categorical_crossentropy,0.003134054,0.5077062273665841,0.5248337449901825,0.5015181178124106,4184,0.4988437396762472,0.8074866310160428,0.36089866156787764,4184,0.828839817908397,0.4319177741677094,0.36089866156787764,0.36089866156787764,0.36089866156787764,4184,0.9751414302601471,40,25,0.614961759082218,0.4981754235852061,1.406327834776665,0.8110687631266067,0.368546845124283,0.9598470363288719,16,0.3836318815915122,0.4200175520379276,0.36089866156787764,4184
18,0.9210526315789473,0.8798882681564246,0.9662576687116564,326,0.6237762237762237,0.6445086705202312,0.6043360433604336,369,0.8598315998018821,0.906054279749478,0.8180961357210179,1061,0.0,0.0,0.0,1056,0.0,0.0,0.0,1037,0.6751773049645389,0.6432432432432432,0.7104477611940299,335,0.6435343807659798,0.672064368331869,0.17794264526474873,0.45529711891163965,0.006268107917252983,673,0.5671864083094214,0.6792918131268323,categorical_crossentropy,0.003134054,0.5133062933535987,0.5122824102782295,0.5165229348311896,4184,0.5289575289575289,0.8090551181102362,0.39292543021032506,4184,0.8222684952834908,0.43534379530528583,0.39292543021032506,0.39292543021032506,0.39292543021032506,4184,0.9732292317202458,40,25,0.6161567877629063,0.5180987698626108,1.227630194696824,0.7969802498361577,0.39220841300191206,0.9541108986615678,16,0.3988772249094361,0.40666284707018224,0.39292543021032506,4184
19,0.9201183431952662,0.8885714285714286,0.9539877300613497,326,0.5954887218045114,0.668918918918919,0.5365853658536586,369,0.8622425629290619,0.8380782918149466,0.8878416588124411,1061,0.0,0.0,0.0,1056,0.0,0.0,0.0,1037,0.5443298969072166,0.88,0.3940298507462687,335,0.660186439963909,0.672064368331869,0.17794264526474873,0.45529711891163965,0.006268107917252983,673,0.5782807200954745,0.6792918131268323,categorical_crossentropy,0.003134054,0.4870299208060094,0.5459281065508824,0.4620741009122864,4184,0.5186762778505898,0.8244791666666667,0.37834608030592737,4184,0.8398089713047685,0.44370966394406736,0.37834608030592737,0.37834608030592737,0.37834608030592737,4184,0.9784081009799916,40,25,0.6178298279158699,0.5202427729251964,1.194008984939546,0.8203299077473453,0.38910133843212236,0.9490917782026769,16,0.38644450118527096,0.4112109068860003,0.37834608030592737,4184
20,0.9432176656151419,0.9707792207792207,0.9171779141104295,326,0.6189735614307931,0.7262773722627737,0.5392953929539296,369,0.8461212378126324,0.7688751926040062,0.94062205466541,1061,0.0,0.0,0.0,1056,0.0,0.0,0.0,1037,0.7264957264957265,0.6948228882833788,0.7611940298507462,335,0.6678352321051912,0.672064368331869,0.17794264526474873,0.45529711891163965,0.006268107917252983,673,0.5871594630667968,0.6792918131268323,categorical_crossentropy,0.003134054,0.5224680318923823,0.5267924456548966,0.5263815652634193,4184,0.5445498367283471,0.7792612372051625,0.41849904397705545,4184,0.8537869542426355,0.44992430785121923,0.41849904397705545,0.41849904397705545,0.41849904397705545,4184,0.9797625753349749,40,25,0.6089866156787763,0.5336538408500059,1.2458997919272283,0.7668412493018302,0.41586998087954113,0.9314053537284895,16,0.40081283576810955,0.390299384145978,0.41849904397705545,4184
21,0.9360374414976599,0.9523809523809523,0.9202453987730062,326,0.6220472440944882,0.6030534351145038,0.6422764227642277,369,0.859437751004016,0.9194414607948442,0.8067860508953817,1061,0.36977886977886976,0.5262237762237763,0.2850378787878788,1056,0.0,0.0,0.0,1037,0.6457831325301205,0.5414141414141415,0.8,335,0.675962074573615,0.672064368331869,0.17794264526474873,0.45529711891163965,0.006268107917252983,673,0.5900576330496394,0.6792918131268323,categorical_crossentropy,0.003134054,0.5721807398175257,0.5904189609880363,0.5757242918700824,4184,0.569521044992743,0.7250554323725056,0.46892925430210325,4184,0.8521954926605976,0.45390805198171585,0.46892925430210325,0.46892925430210325,0.46892925430210325,4184,0.9819934730434425,40,25,0.6080305927342257,0.5495475232601166,1.2652170496278694,0.7079973193473159,0.45506692160611856,0.9476577437858509,16,0.4907674303772565,0.5367104070274419,0.46892925430210325,4184
22,0.9383886255924171,0.9674267100977199,0.911042944785276,326,0.6160458452722063,0.6534954407294833,0.5826558265582655,369,0.8598382749326146,0.8214592274678112,0.9019792648444863,1061,0.0,0.0,0.0,1056,0.0,0.0,0.0,1037,0.7016491754122939,0.7048192771084337,0.6985074626865672,335,0.6726157277259739,0.672064368331869,0.17794264526474873,0.45529711891163965,0.006268107917252983,673,0.5933120777650465,0.6792918131268323,categorical_crossentropy,0.003134054,0.5193203202015886,0.5245334425672413,0.5156975831457659,4184,0.5391799905018205,0.7984060009376465,0.4070267686424474,4184,0.8565567695337523,0.4566966760596396,0.4070267686424474,0.4070267686424474,0.4070267686424474,4184,0.9810373755994807,40,25,0.626434034416826,0.5338010797651046,1.1646191772949628,0.7989387116742179,0.4084608030592734,0.9483747609942639,16,0.40166742168145186,0.39775421206876416,0.4070267686424474,4184
