epoch,Ahegao_f1-score,Ahegao_precision,Ahegao_recall,Ahegao_support,Angry_f1-score,Angry_precision,Angry_recall,Angry_support,Happy_f1-score,Happy_precision,Happy_recall,Happy_support,Neutral_f1-score,Neutral_precision,Neutral_recall,Neutral_support,Sad_f1-score,Sad_precision,Sad_recall,Sad_support,Surprise_f1-score,Surprise_precision,Surprise_recall,Surprise_support,acc,dropout,dropout_global,dump_param,eta,experiment_id,f1_score,l2,loss,lr,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,precision,recall,samples avg_f1-score,samples avg_precision,samples avg_recall,samples avg_support,top_3_categorical_acc,train_batch,trainable_layers,val_acc,val_f1_score,val_loss,val_precision,val_recall,val_top_3_categorical_acc,valid_batch,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0,0.7034178610804851,0.5490533562822719,0.9785276073619632,326,0.5792682926829269,0.662020905923345,0.5149051490514905,369,0.8609022556390978,0.8584817244611059,0.8633364750235627,1061,0.16012810248198558,0.5181347150259067,0.0946969696969697,1056,0.0,0.0,0.0,1037,0.6949685534591195,0.7342192691029901,0.6597014925373135,335,0.5610708305583267,0.6189713977169266,0.3136408076936426,0.9668840741394045,0.0008967278746361097,409,0.4093553997393994,0.2617627151816656,categorical_crossentropy,0.0008967279,0.4997808442239358,0.55365166179927,0.5185279489452167,4184,0.5280508090125511,0.7188143268834911,0.4173040152963671,4184,0.7698834599104453,0.2909728297827947,0.4173040152963671,0.4173040152963671,0.4173040152963671,4184,0.9145884809195022,80,5,0.6003824128817418,0.5190615581907688,1.2522304389718386,0.7330664543873038,0.407265775062386,0.9216061179770111,24,0.420265596934776,0.5084225459617179,0.4173040152963671,4184
1,0.9494640122511484,0.9480122324159022,0.950920245398773,326,0.5,0.33777354900095147,0.962059620596206,369,0.9051516610495908,0.9251968503937008,0.885956644674835,1061,0.0,0.0,0.0,1056,0.0,0.0,0.0,1037,0.6981818181818181,0.8930232558139535,0.573134328358209,335,0.6487132478031957,0.6189713977169266,0.3136408076936426,0.9668840741394045,0.0008967278746361097,409,0.5844424075030225,0.2617627151816656,categorical_crossentropy,0.0008967279,0.5087995819137595,0.5173343146040846,0.5620118065046705,4184,0.5290740468128956,0.6887696435415868,0.42949330783938816,4184,0.7882141828698453,0.4734284121167108,0.42949330783938816,0.42949330783938816,0.42949330783938816,4184,0.9646243335108255,80,5,0.5867590822749567,0.5107230263731903,1.2366438873867232,0.6975432985371431,0.4072657748914358,0.9314053530446886,24,0.4035091035990438,0.40977224577302246,0.42949330783938816,4184
2,0.5639686684073106,0.393681652490887,0.9938650306748467,326,0.5947955390334573,0.4526166902404526,0.8672086720867209,369,0.8782435129740518,0.9331919406150583,0.8294062205466541,1061,0.0,0.0,0.0,1056,0.1321656050955414,0.3789954337899543,0.08003857280617165,1037,0.6641366223908918,0.9114583333333334,0.5223880597014925,335,0.6948450328667186,0.6189713977169266,0.3136408076936426,0.9668840741394045,0.0008967278746361097,409,0.632611073803478,0.2617627151816656,categorical_crossentropy,0.0008967279,0.47221832465020874,0.5116573417449476,0.5488177593026476,4184,0.5042444821731749,0.6178918169209431,0.4259082217973231,4184,0.795055089253523,0.5338220052885901,0.4259082217973231,0.4259082217973231,0.4259082217973231,4184,0.97458370285541,80,5,0.5492351846929718,0.5022284120435241,1.4857368225349294,0.6403090446674573,0.41730401512541687,0.8819311655502247,24,0.4050409197071279,0.47414656618312195,0.4259082217973231,4184
3,0.9353383458646616,0.9174041297935103,0.9539877300613497,326,0.6427840327533265,0.5164473684210527,0.8509485094850948,369,0.9046543154089473,0.8689236111111112,0.943449575871819,1061,0.0,0.0,0.0,1056,0.40156965336821454,0.6239837398373984,0.29604628736740596,1037,0.7867298578199051,0.8355704697986577,0.7432835820895523,335,0.7283881741798729,0.6189713977169266,0.3136408076936426,0.9668840741394045,0.0008967278746361097,409,0.6758117831500818,0.2617627151816656,categorical_crossentropy,0.0008967279,0.6118460342025092,0.6270548864936217,0.6312859474792036,4184,0.6169942033083557,0.7552786431291104,0.5215105162523901,4184,0.8110208131005475,0.5860887554791542,0.5215105162523901,0.5215105162523901,0.5215105162523901,4184,0.97793005202531,80,5,0.6223709371874027,0.6068381436924177,1.1352061682859753,0.7430085110162914,0.5167304046352325,0.9337954073289613,24,0.5214933246652144,0.5589287816068055,0.5215105162523901,4184
4,0.8898305084745763,0.824607329842932,0.9662576687116564,326,0.6308457711442786,0.49842767295597484,0.8590785907859079,369,0.9014466546112117,0.8662033014769766,0.939679547596607,1061,0.0739404869251578,0.7735849056603774,0.038825757575757576,1056,0.5712815234173958,0.6125827814569537,0.5351976856316297,1037,0.7669421487603307,0.8592592592592593,0.6925373134328359,335,0.7636841688580878,0.6189713977169266,0.3136408076936426,0.9668840741394045,0.0008967278746361097,409,0.7352790253047078,0.2617627151816656,categorical_crossentropy,0.0008967279,0.6390478488888252,0.7391108751087456,0.6719294272890659,4184,0.6481139541018202,0.7230723955267805,0.5872370936902486,4184,0.8126724388587808,0.6740498729468665,0.5872370936902486,0.5872370936902486,0.5872370936902486,4184,0.9793641995732105,80,5,0.6857074546426478,0.6582778281395112,1.0756282577323184,0.7470755727523599,0.5908221822395835,0.9505258082887639,24,0.5752216657908611,0.7437355067678523,0.5872370936902486,4184
5,0.8870292887029289,0.8132992327365729,0.9754601226993865,326,0.6947368421052632,0.7804054054054054,0.6260162601626016,369,0.8822003113648157,0.9815242494226328,0.8011310084825636,1061,0.574725908828621,0.7355982274741507,0.4715909090909091,1056,0.6754797441364605,0.6055045871559633,0.76374156219865,1037,0.742200328407225,0.8248175182481752,0.6746268656716418,335,0.8008126846851746,0.6189713977169266,0.3136408076936426,0.9668840741394045,0.0008967278746361097,409,0.7903636963934872,0.2617627151816656,categorical_crossentropy,0.0008967279,0.7427287372575524,0.7901915367404834,0.7187611213842922,4184,0.7291145572786393,0.7646904512067156,0.6967017208413002,4184,0.8317269826113926,0.7538841545045181,0.6967017208413002,0.6967017208413002,0.6967017208413002,4184,0.9839853463481787,80,5,0.7244263859483525,0.7236944867821542,0.9504092607511845,0.7576271673917314,0.694072657344902,0.9617590774313669,24,0.7259952527774904,0.7828671670197673,0.6967017208413002,4184
6,0.8960674157303371,0.8264248704663213,0.9785276073619632,326,0.7323568575233023,0.7198952879581152,0.7452574525745257,369,0.9130009775171066,0.9482233502538071,0.8803016022620169,1061,0.6905077262693157,0.6468155500413565,0.740530303030303,1056,0.5962660443407234,0.7548005908419497,0.4927675988428158,1037,0.7858293075684379,0.8531468531468531,0.7283582089552239,335,0.8296550085521601,0.6189713977169266,0.3136408076936426,0.9668840741394045,0.0008967278746361097,409,0.8253609770541647,0.2617627151816656,categorical_crossentropy,0.0008967279,0.7690047214915371,0.7915510837847339,0.7609571288378082,4184,0.7559501788136639,0.780891719745223,0.7325525812619503,4184,0.853569741738611,0.7993785359975152,0.7325525812619503,0.7325525812619503,0.7325525812619503,4184,0.9849414461761364,80,5,0.7519120448634,0.7542976111914415,0.9042405931717123,0.7811343411186685,0.7301625232737561,0.9596080255781944,24,0.750910267700046,0.786971910372568,0.7325525812619503,4184
7,0.940032414910859,0.9965635738831615,0.8895705521472392,326,0.7561327561327561,0.808641975308642,0.7100271002710027,369,0.9129786176031826,0.9663157894736842,0.8652214891611687,1061,0.6571729957805907,0.7416666666666667,0.5899621212121212,1056,0.7011952191235059,0.6481178396072013,0.76374156219865,1037,0.7808417997097242,0.7598870056497176,0.8029850746268656,335,0.8479005666465249,0.6189713977169266,0.3136408076936426,0.9668840741394045,0.0008967278746361097,409,0.8448944379443544,0.2617627151816656,categorical_crossentropy,0.0008967279,0.7913923005434365,0.820198808431512,0.7702513166028412,4184,0.7725658297611758,0.792263250439588,0.7538240917782026,4184,0.8684480052223795,0.8229623149423597,0.7538240917782026,0.7538240917782026,0.7538240917782026,4184,0.9869333180894169,80,5,0.7868068834791676,0.7858900640936244,0.8387333527349833,0.8109425220845078,0.7633843217935434,0.9627151008317849,24,0.7736209360012047,0.8026744773354928,0.7538240917782026,4184
8,0.8882602545968882,0.8241469816272966,0.9631901840490797,326,0.5833333333333333,0.8797814207650273,0.4363143631436314,369,0.8616517622304048,0.975,0.7719132893496701,1061,0.5263774912075029,0.6907692307692308,0.4251893939393939,1056,0.6407165001722357,0.4983922829581994,0.896817743490839,1037,0.35922330097087385,0.961038961038961,0.2208955223880597,335,0.8645526254835304,0.6189713977169266,0.3136408076936426,0.9668840741394045,0.0008967278746361097,409,0.8634771651864935,0.2617627151816656,categorical_crossentropy,0.0008967279,0.6432604404185397,0.8048548128597859,0.6190534160601123,4184,0.6715560444933383,0.6872654490868151,0.6565487571701721,4184,0.8802170374889068,0.8475818675491935,0.6565487571701721,0.6565487571701721,0.6565487571701721,4184,0.9893235677780359,80,5,0.6696940726007604,0.6677578162280825,1.2064029651891661,0.683983971751215,0.652963670273356,0.9318833644029971,24,0.6595728513250524,0.763866973551818,0.6565487571701721,4184
9,0.9232995658465991,0.873972602739726,0.9785276073619632,326,0.741514360313316,0.7153652392947103,0.7696476964769647,369,0.9212062256809338,0.9517587939698492,0.8925541941564562,1061,0.7295194508009153,0.7059344552701505,0.7547348484848485,1056,0.6804572672836147,0.78125,0.6027000964320154,1037,0.7779479326186829,0.7987421383647799,0.7582089552238805,335,0.8681379969676039,0.6189713977169266,0.3136408076936426,0.9668840741394045,0.0008967278746361097,409,0.866271464717919,0.2617627151816656,categorical_crossentropy,0.0008967279,0.795657467090677,0.8045038716065361,0.7927288996893548,4184,0.7879824132877381,0.8056943056943057,0.7710325047801148,4184,0.8819341267943714,0.8514062643440565,0.7710325047801148,0.7710325047801148,0.7710325047801148,4184,0.9901203143816053,80,5,0.7803537278056829,0.7817007132287691,0.8411210651721371,0.7987943086523854,0.7660133856888255,0.9648661527989243,24,0.7860022816718951,0.8082941140803989,0.7710325047801148,4184
